Date,Close,High,Low,Open,Volume,Event
,NOK,NOK,NOK,NOK,NOK,
1994-07-01,0.5975456237792969,0.5975456237792969,0.5851340192982056,0.5851340192982056,29958400,Regular Trading
1994-07-05,0.6205965876579285,0.6205965876579285,0.6117306005418002,0.6170501062327424,10691200,Regular Trading
1994-07-06,0.6418742537498474,0.6418742537498474,0.6205966613530635,0.6205966613530635,7408000,Regular Trading
1994-07-07,0.6507399082183838,0.6507399082183838,0.6383278692048417,0.6401008939514073,9747200,Regular Trading
1994-07-08,0.6542857885360718,0.6560592457178748,0.6436472099136515,0.6489667156717014,4467200,Regular Trading
1994-07-11,0.6702444553375244,0.6737905047048725,0.6507398851357814,0.6507398851357814,5910400,Regular Trading
1994-07-12,0.6932949423789978,0.7021604969964386,0.6737903759056734,0.6737903759056734,16467200,Regular Trading
1994-07-13,0.6986143589019775,0.7003873830198248,0.6879753484076181,0.6932948536547978,10678400,Regular Trading
1994-07-14,0.6826560497283936,0.6932950634420599,0.6791100004196841,0.6844295072765173,11481600,Regular Trading
1994-07-15,0.6666979193687439,0.6720174258850149,0.6649248948279006,0.6649248948279006,7609600,Regular Trading
1994-07-18,0.684429407119751,0.684429407119751,0.6684708888845595,0.6702443461731624,3657600,Regular Trading
1994-07-19,0.6702444553375244,0.6808830363333448,0.6702444553375244,0.6791100116496708,3107200,Regular Trading
1994-07-20,0.6666979193687439,0.6702444013441717,0.6613784128524729,0.6702444013441717,3747200,Regular Trading
1994-07-21,0.6737903356552124,0.6773368170265472,0.6720173114163788,0.6720173114163788,2243200,Regular Trading
1994-07-22,0.6791098713874817,0.6791098713874817,0.6720173412238883,0.673790365541365,1459200,Regular Trading
1994-07-25,0.6791098713874817,0.6808828957049583,0.6755633898588417,0.6808828957049583,1536000,Regular Trading
1994-07-26,0.6879755258560181,0.6932950324752495,0.684429476705697,0.6879755258560181,1043200,Regular Trading
1994-07-27,0.6968411207199097,0.6986145782883147,0.691522046696016,0.6986145782883147,1756800,Regular Trading
1994-07-28,0.6862024664878845,0.6915219728373975,0.6862024664878845,0.6879754909731463,1113600,Regular Trading
1994-07-29,0.6968411207199097,0.6986145782883147,0.6879755644529797,0.6879755644529797,5459200,Regular Trading
1994-08-01,0.7057070136070251,0.7092530624725303,0.7003875074150524,0.7003875074150524,2585600,Regular Trading
1994-08-02,0.6986143589019775,0.7074799123848519,0.6986143589019775,0.7074799123848519,1216000,Regular Trading
